Species,zone_n,zone_s,zone_g
Adelia_oaxacana,else,NA,else
Adelia_ricinella,else,else,else
Adelia_triloba,else,tropical,else
Adelobotrys_klugii,tropical,tropical,tropical
Adenanthera_abrosperma,NA,else,else
Adenanthera_intermedia,else,else,else
Adenanthera_kostermansii,tropical,tropical,tropical
Adenanthera_mantaroa,NA,else,else
Adenanthera_microsperma,else,tropical,else
Adenanthera_novoguineensis,tropical,tropical,tropical
Adenanthera_pavonina,else,else,tropical
Adenanthos_sericeus,NA,else,else
Adenaria_floribunda,tropical,else,tropical
Adenia_fruticosa,NA,else,else
Adenium_boehmianum,NA,else,else
Adenium_multiflorum,NA,else,else
Adenium_obesum,else,else,tropical
Adenocalymma_bracteosum,tropical,tropical,tropical
Adenocalymma_cladotrichum,tropical,tropical,tropical
Adenocarpus_mannii,tropical,tropical,tropical
Adenolobus_garipensis,NA,else,else
Adenophaedra_grandifolia,tropical,tropical,tropical
Adenophaedra_megalophylla,tropical,else,else
Adenopodia_oaxacana,else,NA,else
Adenorandia_kalbreyeri,tropical,tropical,tropical
Adenostoma_sparsifolium,else,NA,else
Adina_cordifolia,else,NA,else
Adina_metcalfii,else,NA,else
Adina_multifolia,else,tropical,tropical
Adina_pilulifera,else,NA,else
Adina_trichotoma,else,tropical,else
Adinandra_acuminata,tropical,tropical,tropical
Adinandra_bockiana,else,NA,else
Adinandra_clemensiae,tropical,NA,tropical
Adinandra_cordifolia,tropical,tropical,tropical
Adinandra_dumosa,tropical,tropical,tropical
Adinandra_excelsa,tropical,tropical,tropical
Adinandra_formosana,else,NA,else
Adinandra_glischroloma,else,NA,else
Adinandra_hirta,else,NA,else
Adinandra_integerrima,else,tropical,else
Adinandra_lasiostyla,else,NA,else
Adinandra_sarosanthera,tropical,tropical,tropical
Adiscanthus_fusciflorus,tropical,tropical,tropical
Adonidia_merrillii,else,else,else
Aegiphila_alba,tropical,tropical,tropical
Aegiphila_anomala,tropical,tropical,tropical
Aegiphila_bogotensis,tropical,tropical,tropical
Aegiphila_boliviana,NA,else,else
Aegiphila_brachiata,NA,else,else
Aegiphila_cephalophora,tropical,NA,tropical
Aegiphila_cordata,tropical,tropical,tropical
Aegiphila_costaricensis,else,NA,else
Aegiphila_cuatrecasasii,tropical,tropical,tropical
Aegiphila_cuneata,NA,tropical,tropical
Aegiphila_deppeana,else,NA,else
Aegiphila_elata,else,tropical,else
Aegiphila_elegans,tropical,tropical,tropical
